Date,SpeedW,Lat,Lon,Speed,Edate
09/01/202104:29:06,5.7kn(s),46.5555,-53.7328,5.7,9
09/01/202104:39:37,5.6kn(s),46.54401,-53.716,5.6,9
09/01/202104:50:18,6.3kn(s),46.53121,-53.6988,6.3,9
09/01/202105:00:35,5.5kn(s),46.518,-53.6831,5.5,9
09/01/202105:15:35,5.9kn(s),46.49942,-53.6615,5.9,9
09/01/202105:26:14,5.5kn(s),46.486,-53.6467,5.5,9
09/01/202105:36:45,6kn(s),46.4729,-53.6314,6,9
09/01/202105:47:37,6.2kn(s),46.45881,-53.6153,6.2,9
09/01/202106:02:16,5.5kn(s),46.43978,-53.5935,5.5,9
09/01/202106:18:45,6kn(s),46.41995,-53.5704,6,9
09/01/202106:29:37,5.7kn(s),46.40641,-53.5542,5.7,9
09/01/202106:40:06,5.2kn(s),46.39314,-53.5388,5.2,9
09/01/202106:50:36,5.8kn(s),46.38027,-53.5241,5.8,9
09/01/202107:01:24,6.1kn(s),46.36599,-53.5084,6.1,9
09/01/202107:12:35,5.7kn(s),46.352,-53.4926,5.7,9
09/01/202107:23:37,5.6kn(s),46.3385,-53.4774,5.6,9
09/01/202107:33:58,6kn(s),46.32581,-53.4619,6,9
09/01/202107:44:44,6.3kn(s),46.31161,-53.4447,6.3,9
09/01/202107:55:36,6.3kn(s),46.29789,-53.4272,6.3,9
09/01/202108:06:26,6.1kn(s),46.28359,-53.4093,6.1,9
09/01/202108:18:06,6.6kn(s),46.27885,-53.3818,6.6,9
09/01/202108:28:47,6.4kn(s),46.27938,-53.3538,6.4,9
09/01/202108:39:57,7.1kn(s),46.27993,-53.324,7.1,9
09/01/202108:51:13,7.9kn(s),46.27958,-53.2907,7.9,9
09/01/202109:13:06,8.1kn(s),46.27891,-53.2185,8.1,9
09/01/202109:25:03,7.8kn(s),46.27786,-53.1793,7.8,9
09/01/202109:36:34,8kn(s),46.27605,-53.1426,8,9
09/01/202109:47:14,8.1kn(s),46.2745,-53.1079,8.1,9
09/01/202110:01:08,8.6kn(s),46.2726,-53.0629,8.6,9
09/01/202110:13:23,8.3kn(s),46.271,-53.0227,8.3,9
09/01/202110:23:57,7.9kn(s),46.2703,-52.9895,7.9,9
09/01/202110:34:25,7.4kn(s),46.26944,-52.9573,7.4,9
09/01/202110:45:27,8.1kn(s),46.26901,-52.9222,8.1,9
09/01/202110:57:05,8.2kn(s),46.26934,-52.8849,8.2,9
09/01/202111:08:12,7.6kn(s),46.26974,-52.8495,7.6,9
09/01/202111:18:55,7.9kn(s),46.27026,-52.816,7.9,9
09/01/202111:30:05,8.2kn(s),46.27069,-52.7799,8.2,9
09/01/202111:45:37,7.8kn(s),46.27109,-52.7303,7.8,9
09/01/202111:57:04,8.3kn(s),46.27148,-52.6933,8.3,9
09/01/202112:08:47,8kn(s),46.27191,-52.6557,8,9
09/01/202112:21:07,8.2kn(s),46.27171,-52.6166,8.2,9
09/01/202112:36:07,5kn(s),46.27334,-52.5768,5,9
09/01/202112:55:48,6.5kn(s),46.26549,-52.611,6.5,9
09/01/202113:09:26,7kn(s),46.26393,-52.5691,7,9
09/01/202113:39:44,7.7kn(s),46.2641,-52.4775,7.7,9
09/01/202113:52:23,8.1kn(s),46.26393,-52.4373,8.1,9
09/01/202114:16:24,7.6kn(s),46.26348,-52.3611,7.6,9
09/01/202114:26:27,7.2kn(s),46.26379,-52.331,7.2,9
09/01/202114:54:03,8.1kn(s),46.26373,-52.2427,8.1,9
09/01/202115:56:42,8.1kn(s),46.26307,-52.0405,8.1,9
09/01/202116:09:05,8.6kn(s),46.2627,-51.9997,8.6,9
09/01/202116:25:04,7.8kn(s),46.26242,-51.9483,7.8,9
09/01/202116:35:33,8kn(s),46.26208,-51.9155,8,9
09/01/202118:14:23,7.9kn(s),46.26377,-51.6102,7.9,9
09/01/202118:49:13,7.9kn(s),46.26622,-51.5028,7.9,9
09/01/202119:26:43,8.7kn(s),46.2687,-51.3753,8.7,9
09/01/202120:03:14,8.7kn(s),46.2693,-51.2482,8.7,9
09/01/202120:37:54,9kn(s),46.26528,-51.1268,9,9
09/01/202121:11:53,9kn(s),46.26475,-51.0066,9,9
09/01/202121:43:02,8.4kn(s),46.26205,-50.8979,8.4,9
09/01/202122:54:33,8.8kn(s),46.25463,-50.6443,8.8,9
